date,closedPnL_sum,closedPnL_mean,closedPnL_count,trade_value_sum,trade_value_mean,size_tokens_sum,is_profitable_mean,account_nunique,Classification,value,sentiment_score
2024-11-11,6749.630996,18.09552545844504,373,1570572.268259,4210.649512758713,3050577.40352,0.24664879356568364,4,Greed,76.0,1.0
2024-11-12,3494.399394,20.435084175438597,171,1226354.4955799999,7171.663716842105,144432.45464,0.19883040935672514,4,Greed,80.0,1.0
2024-11-13,7846.402274,163.46671404166668,48,515336.40695100004,10736.175144812501,81116.91647000001,0.5625,5,Greed,84.0,1.0
2024-11-14,4563.509225,41.4864475,110,1008361.796498,9166.925422709091,5189260.03874,0.2545454545454545,2,Greed,88.0,1.0
2024-11-15,4140.740438,27.790204281879195,149,1427858.505675,9582.942991107382,21773.26548,0.3691275167785235,4,Greed,80.0,1.0
2024-11-16,2769.521909,17.640266936305732,157,303296.101346,1931.8223015668789,163784.50782,0.3057324840764331,4,Greed,86.0,1.0
2024-11-17,882.975285,4.224762129186603,209,1215987.528332,5818.122145129186,118664.53501,0.23444976076555024,4,Greed,90.0,1.0
2024-11-18,4470.815187,12.921431176300578,346,2084339.59982066,6024.102889655087,762850.39811,0.3583815028901734,7,Greed,83.0,1.0
2024-11-19,2958.268991,9.699242593442623,305,628031.1904862984,2059.118657332126,617141.86239,0.4918032786885246,5,Greed,90.0,1.0
2024-11-20,4210.0928969999995,7.654714358181818,550,1999514.154817,3635.4802814854547,3357149.9662699997,0.3981818181818182,5,Greed,83.0,1.0
2024-11-21,1692.430891,3.1634222261682243,535,598300.558755,1118.318801411215,6327019.74521,0.308411214953271,5,Greed,82.0,1.0
2024-11-22,-18105.345617,-26.664721085419732,679,1646713.6355,2425.204175994109,6863952.50785,0.3078055964653903,6,Greed,94.0,1.0
2024-11-23,2901.531638,7.993200104683195,363,516245.725623,1422.1645333966942,1853295.87574,0.3526170798898072,4,Greed,93.0,1.0
2024-11-24,945.550386,5.497385965116279,172,664952.281453,3866.0016363546515,354313.50949,0.26744186046511625,3,Greed,80.0,1.0
2024-11-25,5523.740734,21.66172836862745,255,937410.852452,3676.1209900078434,531097.97884,0.4117647058823529,2,Greed,82.0,1.0
2024-11-26,1094.809359,3.6251965529801327,302,1146902.403842,3797.69007894702,2007687.4917,0.2913907284768212,4,Greed,79.0,1.0
2024-11-27,-2654.495633,-12.462420812206572,213,1444242.525653,6780.481341093897,384052.49735,0.3474178403755869,2,Greed,75.0,1.0
2024-11-28,-127075.39958499999,-382.75722766566264,332,1894225.11699,5705.497340331325,30569.13728,0.32831325301204817,5,Greed,77.0,1.0
2024-11-29,176844.994152,449.98726247328244,393,794262.90333934,2021.025199336743,683964.22416,0.48854961832061067,11,Greed,78.0,1.0
2024-11-30,37316.69352,100.04475474530831,373,1732193.6593480066,4643.9508293512245,271197.97742435,0.42091152815013405,8,Greed,84.0,1.0
2024-12-01,40886.364494,98.28453003365385,416,814711.9570724809,1958.442204501156,3560119.23642001,0.53125,9,Greed,81.0,1.0
2024-12-02,18489.604313,68.48001597407408,270,585243.4758392512,2167.5684290342638,210965.83884,0.4074074074074074,8,Greed,80.0,1.0
